datetime,code,open,close,high,low,vol,amount,p_change
2019/12/13,2851.5979,2851.5979,2851.5979,2851.5979,2851.5979,2851.5979,2851.5979,2851.5979
2019/12/13,2849.87793,2849.87793,2849.87793,2849.87793,2849.87793,2849.87793,2849.87793,2849.87793
2019/12/13,2849.686768,2849.686768,2849.686768,2849.686768,2849.686768,2849.686768,2849.686768,2849.686768
2019/12/13,2853.700195,2853.700195,2853.700195,2853.700195,2853.700195,2853.700195,2853.700195,2853.700195
2019/12/13,2856.758057,2856.758057,2856.758057,2856.758057,2856.758057,2856.758057,2856.758057,2856.758057
2019/12/13,2868.798096,2868.798096,2868.798096,2868.798096,2868.798096,2868.798096,2868.798096,2868.798096
2019/12/13,2872.620361,2872.620361,2872.620361,2872.620361,2872.620361,2872.620361,2872.620361,2872.620361
2019/12/16,2859.815918,2859.815918,2859.815918,2859.815918,2859.815918,2859.815918,2859.815918,2859.815918
2019/12/16,2860.771484,2860.771484,2860.771484,2860.771484,2860.771484,2860.771484,2860.771484,2860.771484
2019/12/16,2857.331299,2857.331299,2857.331299,2857.331299,2857.331299,2857.331299,2857.331299,2857.331299
2019/12/16,2860.580322,2860.580322,2860.580322,2860.580322,2860.580322,2860.580322,2860.580322,2860.580322
2019/12/16,2860.962646,2860.962646,2860.962646,2860.962646,2860.962646,2860.962646,2860.962646,2860.962646
2019/12/16,2862.873779,2862.873779,2862.873779,2862.873779,2862.873779,2862.873779,2862.873779,2862.873779
2019/12/16,2864.402588,2864.402588,2864.402588,2864.402588,2864.402588,2864.402588,2864.402588,2864.402588
2019/12/16,2866.313721,2866.313721,2866.313721,2866.313721,2866.313721,2866.313721,2866.313721,2866.313721
2019/12/17,2867.269287,2867.269287,2867.269287,2867.269287,2867.269287,2867.269287,2867.269287,2867.269287
2019/12/17,2871.664795,2871.664795,2871.664795,2871.664795,2871.664795,2871.664795,2871.664795,2871.664795
2019/12/17,2875.296143,2875.296143,2875.296143,2875.296143,2875.296143,2875.296143,2875.296143,2875.296143
2019/12/17,2896.127441,2896.127441,2896.127441,2896.127441,2896.127441,2896.127441,2896.127441,2896.127441
2019/12/17,2917.914307,2917.914307,2917.914307,2917.914307,2917.914307,2917.914307,2917.914307,2917.914307
2019/12/17,2914.092041,2914.092041,2914.092041,2914.092041,2914.092041,2914.092041,2914.092041,2914.092041
2019/12/17,2910.460938,2910.460938,2910.460938,2910.460938,2910.460938,2910.460938,2910.460938,2910.460938
2019/12/17,2902.051758,2902.051758,2902.051758,2902.051758,2902.051758,2902.051758,2902.051758,2902.051758
2019/12/18,2906.82959,2906.82959,2906.82959,2906.82959,2906.82959,2906.82959,2906.82959,2906.82959
2019/12/18,2906.44751,2906.44751,2906.44751,2906.44751,2906.44751,2906.44751,2906.44751,2906.44751
2019/12/18,2904.727539,2904.727539,2904.727539,2904.727539,2904.727539,2904.727539,2904.727539,2904.727539
2019/12/18,2903.962891,2903.962891,2903.962891,2903.962891,2903.962891,2903.962891,2903.962891,2903.962891
2019/12/18,2907.211914,2907.211914,2907.211914,2907.211914,2907.211914,2907.211914,2907.211914,2907.211914
2019/12/18,2899.758545,2899.758545,2899.758545,2899.758545,2899.758545,2899.758545,2899.758545,2899.758545
2019/12/18,2898.229492,2898.229492,2898.229492,2898.229492,2898.229492,2898.229492,2898.229492,2898.229492
2019/12/18,2893.642822,2893.642822,2893.642822,2893.642822,2893.642822,2893.642822,2893.642822,2893.642822
